time,open,high,low,close,volumeto,coin
2022-03-30,111.78,124.56,107.16,120.64,591082350.06,solana
2022-03-31,120.64,129.36,120.01,122.84,584697700.28,solana
2022-04-01,122.84,138.44,117.78,134.54,631724717.21,solana
2022-04-02,134.54,143.54,131.44,132.51,417707954.3,solana
2022-04-03,132.51,140.98,130.68,136.91,319077832.39,solana
2022-04-04,136.91,138.28,125.91,132.13,375394773.2,solana
2022-04-05,132.13,136.63,126.09,126.83,302494778.35,solana
2022-04-06,126.83,127.39,112.16,112.99,547030001.41,solana
2022-04-07,112.99,119.96,110.96,118.6,358677473.87,solana
2022-04-08,118.6,122.41,108.15,109.97,339956765.81,solana
2022-04-09,109.97,113.67,108.32,112.96,158176021.11,solana
2022-04-10,112.96,116.04,109.8,111.02,162262688.28,solana
2022-04-11,111.02,111.94,98.2,99.65,359954148.63,solana
2022-04-12,99.65,109.36,98.41,103.26,340546068.39,solana
2022-04-13,103.26,106.0,100.12,104.97,216762602.99,solana
2022-04-14,104.97,107.7,99.04,100.77,225896476.03,solana
2022-04-15,100.77,102.88,99.57,101.35,126145198.57,solana
2022-04-16,101.35,103.48,100.81,102.1,90463208.04,solana
2022-04-17,102.1,105.44,99.68,100.18,134183551.56,solana
2022-04-18,100.18,102.66,94.85,102.37,231166457.22,solana
2022-04-19,102.37,108.82,101.06,108.61,221051546.25,solana
2022-04-20,108.61,110.91,104.35,105.59,238496568.02,solana
2022-04-21,105.59,109.98,100.03,101.77,286619329.29,solana
2022-04-22,101.77,103.55,99.23,100.54,186927308.72,solana
2022-04-23,100.54,102.89,98.37,100.61,119676863.89,solana
2022-04-24,100.61,102.25,98.64,99.23,116633113.12,solana
2022-04-25,99.23,101.58,94.35,100.99,207691457.95,solana
2022-04-26,100.99,101.98,94.68,95.71,169617039.13,solana
2022-04-27,95.71,100.76,94.93,98.34,180010948.51,solana
2022-04-28,98.34,100.54,96.35,98.22,185952138.7,solana
2022-04-29,98.22,98.64,92.34,93.93,201780890.22,solana
2022-04-30,93.93,94.93,82.03,84.65,176261852.27,solana
2022-05-01,84.65,93.11,84.17,89.68,194432394.81,solana
2022-05-02,89.68,90.86,85.08,87.47,200945604.54,solana
2022-05-03,87.47,88.78,84.64,85.84,139546484.05,solana
2022-05-04,85.84,93.03,85.46,92.75,227940338.73,solana
